,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,URL
508,Senior Data Science Analyst,$120K - $180K (Employer est.),"The preferred candidate will possess a PhD or Master’s degree with one year experience in a relevant field such as engineering, mathematics, computer science,……
Skills: Data modeling, Data mining, CSS, React, Customer service",3.9,Mayo Clinic,"Jacksonville, FL",10000+ Employees,--,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),"https://www.glassdoor.com/job-listing/senior-data-science-analyst-mayo-clinic-JV_IC1154093_KO0,27_KE28,39.htm?jl=1009224929275"
509,"AIML - Staff Machine Learning Engineer/Scientist, Siri and Information Intelligence",$167K - $296K (Employer est.),"Excellent practical skills with and state of the art knowledge of major machine learning algorithms. BS, MS, or Ph.D in Computer Science, Machine Learning, or……
Skills: TensorFlow, Computer science, Go, Data structures, System design",4.1,Apple,"Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/aiml-staff-machine-learning-engineer-scientist-siri-and-information-intelligence-apple-JV_IC1150505_KO0,80_KE81,86.htm?jl=1009381869823"
510,AI and Data Science Business Development Manager,$99K - $146K (Glassdoor est.),"Typically has 7-10 years of work experience, preferably in services or solutions business, sales, business development, engagement, or a related field.…
Skills: Computer science, Customer segmentation, Business development, SharePoint, Microsoft Project",4.1,Hewlett Packard,"Austin, TX",10000+ Employees,1939,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/ai-and-data-science-business-development-manager-hewlett-packard-JV_IC1139761_KO0,48_KE49,64.htm?jl=1009381837416"
511,Senior Product Manager- AI Software,$137K - $211K (Employer est.),"Master’s degree candidate in data science, computer science, computer engineering, AI/ML, or related field of engineering.…
Skills: Machine learning, Product management, User research, AI, Communication skills",4.1,Hewlett Packard,"Austin, TX",10000+ Employees,1939,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/senior-product-manager-ai-software-hewlett-packard-JV_IC1139761_KO0,34_KE35,50.htm?jl=1009381837415"
512,"Machine Learning Engineer, Platform",$137K - $196K (Employer est.),"You are familiar with agile software processes and modular code design following industry standards. You have experience with tools like TensorFlow or PyTorch.…
Skills: TensorFlow, Java, Machine learning, Agile, Python",4.0,Spotify,"New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/machine-learning-engineer-platform-spotify-JV_IC1132348_KO0,34_KE35,42.htm?jl=1009361858512"
513,Principal Data Science Analyst,$139K - $209K (Employer est.),"The preferred candidate will possess a PhD in a relevant field such as engineering, mathematics, computer science, health science, or other analytical……
Skills: Data modeling, Data mining, Customer service, Research, Analysis skills",3.9,Mayo Clinic,"Jacksonville, FL",10000+ Employees,--,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),"https://www.glassdoor.com/job-listing/principal-data-science-analyst-mayo-clinic-JV_IC1154093_KO0,30_KE31,42.htm?jl=1009381892172"
514,"Software Engineer, AI/ML, Learning Platform",-1,"Master's degree in Computer Science or a related technical field. Experience in driving research progress, technical transfer from research to products, or……
Skills: Research, Java, C++, C, JavaScript",4.3,Google,United States,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/software-engineer-ai-ml-learning-platform-google-JV_KO0,41_KE42,48.htm?jl=1009363106884"
515,"IT Manager - Support (Remote, US)",$141K - $187K (Employer est.),"Work closely with other IT managers, CTO and Head of Security to develop roadmaps toward a strategic company goal.…
Skills: Jira, Google Suite, Computer science, Management, Customer service",4.4,Openly,Remote,201 to 500 Employees,2017,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/it-manager-support-remote-us-openly-JV_KO0,28_KE29,35.htm?jl=1009381107410"
516,"AIML - Sr Engineering Program Manager, Machine Learning FM",$157K - $279K (Employer est.),"Influence entire teams around a common purpose and drive conference on the plan of execution - Create and manage project schedules with clear dependencies,……
Skills: Program management, Project management, Machine learning, Release management, Natural language processing",4.1,Apple,"Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/aiml-sr-engineering-program-manager-machine-learning-fm-apple-JV_IC1150505_KO0,55_KE56,61.htm?jl=1009381869771"
517,"Research/Engineer, AI Platform",$137K - $280K (Employer est.),"Understand the underlying design of the framework, familiar with common model architectures. The AI Platform team is an R&D team that builds cross-platform……
Skills: TensorFlow, Data structures, Research, C++, C",3.7,ByteDance,"San Jose, CA",10000+ Employees,2012,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/research-engineer-ai-platform-bytedance-JV_IC1147436_KO0,29_KE30,39.htm?jl=1009298805436"
518,"Sr Support Engineer, AI/ML",$11K - $183K (Employer est.),"The ideal candidate will have a strong background in AI/ML technologies, excellent problem-solving skills, and the ability to communicate effectively with both……
Skills: Software troubleshooting, Machine learning, AI",4.1,Blue Cross and Blue Shield of North Carolina,North Carolina,5001 to 10000 Employees,1933,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD),"https://www.glassdoor.com/job-listing/sr-support-engineer-ai-ml-blue-cross-and-blue-shield-of-north-carolina-JV_KO0,25_KE26,70.htm?jl=1009327209717"
519,"Director, Decision Science Products - B2C Analytics",$156K - $214K (Glassdoor est.),"Maintain expertise in current and emerging methodologies in the field of decision science and data analytics, including best practices and changes in the……
Skills: Power BI, Management, Tableau, SQL, Project management lifecycle",3.8,Disney,"Lake Buena Vista, FL",10000+ Employees,1923,Company - Public,Film Production,Media & Communication,$10+ billion (USD),"https://www.glassdoor.com/job-listing/director-decision-science-products-b2c-analytics-disney-JV_IC1166273_KO0,48_KE49,55.htm?jl=1009307260552"
520,Research Engineer- Foundation Model AI Platform- Seattle,$20K - $34K (Employer est.),"With a long-term vision and a strong commitment to the AI field, the Team conducts research in a range of areas including natural language processing (NLP),……
Skills: Computer vision, Software deployment, Research, Deep learning, Natural language processing",3.7,ByteDance,"Seattle, WA",10000+ Employees,2012,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/research-engineer-foundation-model-ai-platform-seattle-bytedance-JV_IC1150505_KO0,54_KE55,64.htm?jl=1009323264906"
521,"Data Center Technician, Machine Learning Support",-1,"The Hardware Operations team is responsible for monitoring the state-of-the-art physical infrastructure behind Google's powerful search technology.…
Skills: Data center experience, Operating systems, Machine learning, Computer hardware, Network protocols",4.3,Google,"New Albany, OH",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/data-center-technician-machine-learning-support-google-JV_IC1145883_KO0,47_KE48,54.htm?jl=1009372475178"
522,"Senior Engineering Manager, Applied AI Platform",$240K - $360K (Employer est.),"All of Block's product services are organized into business units with their own product and engineering teams. These ranges may be modified in the future.…
Skills: Information security, Agile, AI, Communication skills",3.8,Afterpay,"San Francisco, CA",1001 to 5000 Employees,2014,Company - Public,Internet & Web Services,Information Technology,$5 to $25 million (USD),"https://www.glassdoor.com/job-listing/senior-engineering-manager-applied-ai-platform-afterpay-JV_IC1147401_KO0,46_KE47,55.htm?jl=1009379702498"
523,Lead Supply Chain Planning Analyst,$94K - $158K (Employer est.),"Leads Supplier calls covering PO delivery schedules and addressing areas of concern and improvement relating to equipment availability.…
Skills: Oracle, Environmental law, Supply chain management, Forecasting, Data science",3.5,AT&T,"Atlanta, GA",10000+ Employees,1876,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),"https://www.glassdoor.com/job-listing/lead-supply-chain-planning-analyst-att-JV_IC1155583_KO0,34_KE35,38.htm?jl=1009379285683"
524,Senior Director of R&D Analytics,$171K - $336K (Employer est.),"Serve as an analytical and technical thought partner to stakeholders on the analytics and data science teams and around the business.…
Skills: Business intelligence, Employee orientation, MongoDB, Analysis skills, SaaS",4.2,MongoDB,"New York, NY",5001 to 10000 Employees,2007,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/senior-director-of-rd-analytics-mongodb-JV_IC1132348_KO0,31_KE32,39.htm?jl=1009375975443"
525,Artificial Intelligence and Machine Learning Research Scientist,-1,"A Ph.D. in computer science, electrical engineering, or a related field and 6 years’ experience in government service or private industry.…
Skills: Signal processing, Research, Machine learning, AI, Leadership",3.8,Oak Ridge National Laboratory,United States,5001 to 10000 Employees,1943,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/artificial-intelligence-and-machine-learning-research-scientist-oak-ridge-national-laboratory-JV_KO0,63_KE64,93.htm?jl=1009348350324"
526,"Applied Scientist II, Amazon Connect",$136K - $222K (Employer est.),"We use state-of-the-art science and engineering practices to address the hard problems in contact center operation and management for our customers, and we move……
Skills: TensorFlow, Data mining, Data structures, Java, AWS",3.7,Amazon.com Services LLC,"Seattle, WA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/applied-scientist-ii-amazon-connect-amazon-com-services-llc-JV_IC1150505_KO0,35_KE36,59.htm?jl=1009377712289"
527,"ML Data Scientist - Forecasting (Consumer Analytics), Ad Platforms",$113K - $167K (Glassdoor est.),"6+ years of recent experience in data science or machine learning role, within digital advertising industry or related field.…
Skills: Spark, SQL, AWS, Machine learning, Regression analysis",4.1,Apple,"Austin, TX",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/ml-data-scientist-forecasting-consumer-analytics-ad-platforms-apple-JV_IC1139761_KO0,61_KE62,67.htm?jl=1009372353250"
528,Information Architect/Data Architect - VP- Hybrid,$126K - $189K (Employer est.),"Data Architect is a strategic professional who stays abreast of developments within own field and contributes to directional strategy by considering their……
Skills: Data modeling, Management, Presentation skills, Data management, UML",3.7,Citi,"Irving, TX",10000+ Employees,1812,Company - Public,Investment & Asset Management,Financial Services,$10+ billion (USD),"https://www.glassdoor.com/job-listing/information-architect-data-architect-vp-hybrid-citi-JV_IC1140006_KO0,46_KE47,51.htm?jl=1009368419952"
529,Perception Systems Software Performance Engineer,$143K - $264K (Employer est.),"It will involve developing performance instrumentation and analysis tools, and driving optimizations across all aspects of performance including compute……
Skills: Computer science, Management, Objective-C, C++, C",4.1,Apple,"Cupertino, CA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/perception-systems-software-performance-engineer-apple-JV_IC1147422_KO0,48_KE49,54.htm?jl=1009246453344"
530,"Data Engineer, Analytics (Generalist)",$206K - $281K (Employer est.),"Conceptualize and own the data architecture for multiple large-scale projects, while evaluating design and operational cost-benefit tradeoffs within systems.…
Skills: Computer science, Data modeling, SQL, OOP, Math",4.0,Instagram,"Menlo Park, CA",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/data-engineer-analytics-generalist-instagram-JV_IC1147371_KO0,34_KE35,44.htm?jl=1009349479208"
531,Hardware Insight Data Scientist,$136K - $249K (Employer est.),"BA or BS degree in statistical analysis, computer science, data science, or related field. The core function of this role involves crafting and implementing……
Skills: React, Kubernetes, Data analysis skills, Tableau, Databases",4.1,Apple,"Sunnyvale, CA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/hardware-insight-data-scientist-apple-JV_IC1147442_KO0,31_KE32,37.htm?jl=1009367201376"
532,"Senior Software Engineer, AI/Machine Learning, Google Photos",-1,"We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking……
Skills: TensorFlow, Computer science, Data structures, Data analysis skills, System design",4.3,Google,"Mountain View, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/senior-software-engineer-ai-machine-learning-google-photos-google-JV_IC1147431_KO0,58_KE59,65.htm?jl=1009365912511"
533,"Asset Wealth Management Strategy, Analyst",$100K - $105K (Employer est.),"Ability to provide structure in ambiguous situations and apply analytical tools to develop solutions. The Strategy team manages mission-critical projects……
Skills: Wealth management, Data analysis skills, Financial services, Communication skills",4.0,JPMorgan Chase & Co,"New York, NY",10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),"https://www.glassdoor.com/job-listing/asset-wealth-management-strategy-analyst-jpmorgan-chase-co-JV_IC1132348_KO0,40_KE41,58.htm?jl=1009323521396"
534,"Lead Machine Learning Engineer - Recommendations (applied ML, deep learning)",$127K - $274K (Employer est.),"PhD in Computer Science, Applied Mathematics, Statistics, Physics or related quantitative field. 5 plus years of experience in end-to-end Machine Learning……
Skills: TensorFlow, Statistics, Big data, Spark, Java",3.5,Target,"Minneapolis, MN",10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD),"https://www.glassdoor.com/job-listing/lead-machine-learning-engineer-recommendations-applied-ml-deep-learning-target-JV_IC1142551_KO0,71_KE72,78.htm?jl=1009363616392"
535,Resiliency Operations Analyst- USDS,$99K - $146K (Employer est.),"The ability to understand TikTok's policies, compliance environment, operational processes, and technical infrastructure in the context of incident response……
Skills: Jira, Social media management, SQL, Data science, Cybersecurity",3.3,TikTok,"Mountain View, CA",10000+ Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/resiliency-operations-analyst-usds-tiktok-JV_IC1147431_KO0,34_KE35,41.htm?jl=1009316263346"
536,"Sr. Machine Learning Engineer, Self-Driving Hardware",$149K - $208K (Glassdoor est.),"Analyzing and deploying state-of-the-art neural networks on GPU, AI accelerator and performance models. Machine learning engineers are expected to understand……
Skills: Go, C++, Machine learning, AI, Python",3.5,Tesla,"Austin, TX",10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/sr-machine-learning-engineer-self-driving-hardware-tesla-JV_IC1139761_KO0,50_KE51,56.htm?jl=1009358682740"
537,"Applied Deep Learning Research Scientist, Sparsity",$160K - $288K (Employer est.),"MS or PhD degree in computer science, computer engineering, electrical engineering or related field or equivalent experience.…
Skills: Computer science, Analysis skills, C++, Machine learning, Computer networking",4.6,NVIDIA,"Santa Clara, CA",10000+ Employees,1993,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD),"https://www.glassdoor.com/job-listing/applied-deep-learning-research-scientist-sparsity-nvidia-JV_IC1147439_KO0,49_KE50,56.htm?jl=1009292007869"
538,Optum Insight Chief Compliance Officer,$188K - $358K (Employer est.),"Keep current on technological advancements and emerging tools within data science and compliance technology fields, leading the organization in compliance……
Skills: Data science, AI, Leadership, Communication skills",3.7,UnitedHealth Group,"Eden Prairie, MN",10000+ Employees,1977,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),"https://www.glassdoor.com/job-listing/optum-insight-chief-compliance-officer-unitedhealth-group-JV_IC1142521_KO0,38_KE39,57.htm?jl=1009379436148"
539,"Software Engineer II, Machine Learning",$158K - $176K (Employer est.),"Bachelor's degree or equivalent in Computer Science, Engineering, Mathematics or related field, with 3+ years of full-time engineering experience.…
Skills: Go, Spark, Java, OOP, C++",3.9,Uber,"Sunnyvale, CA",10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/software-engineer-ii-machine-learning-uber-JV_IC1147442_KO0,37_KE38,42.htm?jl=1009381310294"
540,"Sr. Data Scientist, Consumer Experimentation and Insight (Hybrid)",$97K - $206K (Employer est.),"Bachelor's degree in business or quantitative field, or an equivalent combination of formal education and experience. Strong proficiency coding in SQL/Python.…
Skills: Microsoft Powerpoint, Microsoft Word, Statistics, Microsoft Excel, Git",3.1,CVS Health,"Wellesley, MA",10000+ Employees,1963,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),"https://www.glassdoor.com/job-listing/sr-data-scientist-consumer-experimentation-and-insight-hybrid-cvs-health-JV_IC1154708_KO0,61_KE62,72.htm?jl=1009293226785"
541,Director of Data Strategy and Analytics,$116K - $163K (Glassdoor est.),"Must possess and maintain a valid Georgia driver’s license. Lead the evaluation and adoption of cutting-edge data technologies, tools, and methodologies ……
Skills: Management, Math, Data analytics, AI, Leadership",3.8,City Of Sandy Springs,"Sandy Springs, Fulton, GA",501 to 1000 Employees,--,Company - Public,State & Regional Agencies,Government & Public Administration,$25 to $100 million (USD),"https://www.glassdoor.com/job-listing/director-of-data-strategy-and-analytics-city-of-sandy-springs-JV_IC1166829_KO0,39_KE40,61.htm?jl=1009357171503"
542,"Software Engineer II, AI/ML Platforms",$96K - $131K (Glassdoor est.),"Lastly, they will advance and improve development practices with the engineering team through participation in architecture, technical design and code reviews.…
Skills: Computer science, Azure, Go, DevOps, Java",4.0,Nike,"Beaverton, OR",10000+ Employees,1972,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),"https://www.glassdoor.com/job-listing/software-engineer-ii-ai-ml-platforms-nike-JV_IC1151576_KO0,36_KE37,41.htm?jl=1009370024239"
543,"Staff Software Engineer, Natural Language Processing, Google Assistant",-1,"Master’s degree or PhD in Engineering, Computer Science, or a related technical field. We're looking for engineers who bring fresh ideas from all areas,……
Skills: Data structures, Distributed systems, Deep learning, Natural language processing, Software development",4.3,Google,"New York, NY",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/staff-software-engineer-natural-language-processing-google-assistant-google-JV_IC1132348_KO0,68_KE69,75.htm?jl=1009378013109"
544,Consumer Sales Finance Data and Analytics Controller,$75K - $163K (Employer est.),"OR Bachelor's Degree in Business Administration, Accounting, Finance, Economics, Data Science or related field AND 2+ years experience in financial analysis,……
Skills: Windows, Financial analysis, Machine learning, Accounting, Business requirements",4.2,Microsoft,"Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/consumer-sales-finance-data-and-analytics-controller-microsoft-JV_IC1150499_KO0,52_KE53,62.htm?jl=1009376137982"
545,"Manager, Business Intelligence & Data Science (Audit Analytics)",$143K - $211K (Employer est.),"Orchestrate the implementation of strategic programs that uplift the Internal Audit department’s technical skillsets, enable complete and consistent access to……
Skills: Data mining, Management, SAS, Word processing, Research",4.1,Navy Federal Credit Union,"Vienna, VA",10000+ Employees,1933,Self-employed,Banking & Lending,Financial Services,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/manager-business-intelligence-data-science-audit-analytics-navy-federal-credit-union-JV_IC1130417_KO0,58_KE59,84.htm?jl=1009381183428"
546,"Senior Director, AI Strategy and Development",$204K - $326K (Employer est.),"Advanced degree in computer science, artificial intelligence, data science, or a related field. Master’s degree in computer science, artificial intelligence,……
Skills: Growing experience, Machine learning, Deep learning, Natural language processing, AI",3.4,Exact Sciences Corporation,"Madison, WI",5001 to 10000 Employees,1995,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/senior-director-ai-strategy-and-development-exact-sciences-corporation-JV_IC1133470_KO0,43_KE44,70.htm?jl=1009366822041"
547,"Associate Director, Process Development Lead – Data Science",$178K - $230K (Employer est.),"Passionate about continuous improvement within the field of data science and establishing new procedures which embrace technological solutions and/or automation……
Skills: Writing skills, Analysis skills, Continuous improvement, Data science, AI",3.9,Gilead Sciences,"Foster City, CA",10000+ Employees,1987,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/associate-director-process-development-lead-data-science-gilead-sciences-JV_IC1163997_KO0,56_KE57,72.htm?jl=1009322527342"
548,Associate Director - AI Machine Learning Engineer,$95K - $141K (Glassdoor est.),"Master’s degree in computer science, engineering, mathematics, or a related field. Adaptive Learning: Stay abreast of the latest advancements in machine……
Skills: TensorFlow, CI/CD, Statistics, Data modeling, Management",4.1,Lilly,"Indianapolis, IN",10000+ Employees,1876,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/associate-director-ai-machine-learning-engineer-lilly-JV_IC1145013_KO0,47_KE48,53.htm?jl=1009256182865"
549,Senior Data Scientist - Asset Management Group,$82K - $118K (Glassdoor est.),"Master ‘s degree in a quantitative field (Computer Science, Machine Learning, Mathematics, Statistics…) or equivalent practical experience.…
Skills: Statistics, Computer science, Data mining, Military, Data structures",3.5,PNC Financial Services Group,"Pittsburgh, PA",10000+ Employees,1845,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),"https://www.glassdoor.com/job-listing/senior-data-scientist-asset-management-group-pnc-financial-services-group-JV_IC1152990_KO0,44_KE45,73.htm?jl=1009292541563"
550,Vice President - AI Center of Excellence,$147K - $216K (Glassdoor est.),"Minimum 10 years of experience working with enterprise customers, providing engineering, infrastructure, and technical guidance.…
Skills: TensorFlow, Azure, Cassandra, Big data, Software deployment",3.5,Clarivate,"Overland Park, KS",10000+ Employees,2016,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/vice-president-ai-center-of-excellence-clarivate-JV_IC1151049_KO0,38_KE39,48.htm?jl=1009301752862"
551,Decision Scientist - Applied Optimization and Simulation 2024,-1,"Communicate technical concepts, findings, and recommendations to both technical and non-technical stakeholders to drive decision-making (in a professional……
Skills: Statistics, Analysis skills, Machine learning, Software development, Manufacturing",5.0,Aimpoint Digital,Remote,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/decision-scientist-applied-optimization-and-simulation-2024-aimpoint-digital-JV_KO0,59_KE60,76.htm?jl=1009309368550"
552,Sr. Manager Business Unit Operations and Strategy,$116K - $220K (Employer est.),"Education – Bachelors degree or higher with experience in the semiconductor industry (engineering or business) or related field.…
Skills: Statistics, Power BI, English, Microsoft Office, Project management",3.4,GLOBALFOUNDRIES,"Austin, TX",10000+ Employees,2009,Company - Public,Electronics Manufacturing,Manufacturing,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/sr-manager-business-unit-operations-and-strategy-globalfoundries-JV_IC1139761_KO0,48_KE49,64.htm?jl=1009367475928"
553,Senior Data Scientist - Marketing Measurement & Optimization,$109K - $163K (Employer est.),"To succeed, you’ll need strong independent thinking skills, coupled with the ability to lead the narrative on how to approach and solve key problems the……
Skills: Spanish, Power BI, Management, Facebook Advertising, Spark",3.0,Petco,"Sacramento, CA",10000+ Employees,1965,Company - Public,Pet & Pet Supplies Stores,Retail & Wholesale,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/senior-data-scientist-marketing-measurement-optimization-petco-JV_IC1147229_KO0,56_KE57,62.htm?jl=1009373342645"
554,Statistician,$120K - $140K (Employer est.),"Conduct independent analysis using standard statistical techniques such as linear regression, generalized linear modeling, mixed modeling, and other inference……
Skills: SAS, Content management systems, R, Regression analysis, Communication skills",4.4,"Lantana Consulting Group, Inc.",Vermont,51 to 200 Employees,2005,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/statistician-lantana-consulting-group-inc-JV_KO0,12_KE13,41.htm?jl=1009326842982"
555,Technical Product Analyst,-1,"Technical depth that enables you to collaborate with software engineers, data engineers and data scientists and drive technical discussions about design of data……
Skills: Jira, Power BI, Software deployment, Spark, R",3.9,Zelis,New Jersey,1001 to 5000 Employees,2016,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/technical-product-analyst-zelis-JV_KO0,25_KE26,31.htm?jl=1009381332961"
556,"Manager, Data Science - Consumer Identity Machine Learning",-1,"You have hands-on experience developing data science solutions using open-source tools and cloud computing platforms.…
Skills: Relational databases, Spark, R, Data analysis skills, Databases",3.9,Capital One,"McLean, VA",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),"https://www.glassdoor.com/job-listing/manager-data-science-consumer-identity-machine-learning-capital-one-JV_IC1158535_KO0,55_KE56,67.htm?jl=1009377123252"
557,Sr. Computational Statistician,$90K - $116K (Glassdoor est.),"Effectively use current technologies and available tools for conducting the clinical trial analysis. Assist in and/or be accountable for selecting statistical……
Skills: Statistical software, Statistics, Management, SAS, R",4.1,Lilly,"Indianapolis, IN",10000+ Employees,1876,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/sr-computational-statistician-lilly-JV_IC1145013_KO0,29_KE30,35.htm?jl=1009360445198"
558,"Applied Scientist, ML_AI",$136K - $222K (Employer est.),"At AWS AI/ML you will invent, implement, and deploy state of the art machine learning algorithms and systems. PhD, or Master's degree and 4+ years of CS, CE, ML……
Skills: Data mining, Data structures, Java, AWS, C++",3.7,"Amazon Development Center U.S., Inc.","Santa Clara, CA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/applied-scientist-ml-ai-amazon-development-center-us-inc-JV_IC1147439_KO0,23_KE24,56.htm?jl=1009272813946"
559,"Software Engineer, Integration, AI Platforms",$104K - $360K (Employer est.),"You would be designing fail-safe mechanisms and redundant architectures to mitigate risks and minimize downtime in autonomous driving scenarios.…
Skills: TCP, Computer vision, Host/hostess experience, C++, C",3.5,Tesla,"Palo Alto, CA",10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/software-engineer-integration-ai-platforms-tesla-JV_IC1147434_KO0,42_KE43,48.htm?jl=1009340365327"
560,"Senior Director, Data Engineering",$170K - $235K (Employer est.),"Bachelor’s Degree in computer science or related field required. The Senior Director will be responsible for managing and leading a world class team of……
Skills: Computer science, Management, Software deployment, NoSQL, Project management",3.7,Major League Soccer,"New York, NY",201 to 500 Employees,--,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$5 to $25 million (USD),"https://www.glassdoor.com/job-listing/senior-director-data-engineering-major-league-soccer-JV_IC1132348_KO0,32_KE33,52.htm?jl=1009256315112"
561,Principal Statistician,$116K - $155K (Glassdoor est.),"Provide statistical input to the design, analysis, reporting and interpretation of clinical studies. MSc (or equivalent) in statistics or related field.…
Skills: Statistics, Machine learning, Clinical trials, Communication skills, Time management",3.9,GSK,"Collegeville, PA",10000+ Employees,1830,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/principal-statistician-gsk-JV_IC1152551_KO0,22_KE23,26.htm?jl=1009379729803"
562,Corporate Vice President - Gen AI Lead Data Scientist,$133K - $197K (Employer est.),"Independently leads and contributes to data analysis and modeling projects from project/sample design, business review meetings with internal and external……
Skills: Bootstrap, Software deployment, R, Survival analysis, SQL",3.7,New York Life Insurance Co,"New York, NY",10000+ Employees,1845,Company - Private,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),"https://www.glassdoor.com/job-listing/corporate-vice-president-gen-ai-lead-data-scientist-new-york-life-insurance-co-JV_IC1132348_KO0,51_KE52,78.htm?jl=1009342720762"
